Name,Smile,CAS Number,Type
"2,3-Dihydroxy-2-methylbutane",CC(O)C(C)(C)O,5396-58-7,Not biofuel
Cyclopentanol,OC1CCCC1,96-41-3,Biofuel
2-Propanone,CC(C)=O,67-64-1,Biofuel
2-Butanone,CCC(C)=O,78-93-3,Biofuel
3-Buten-2-one,CC(=O)C=C,78-94-4,Biofuel
3-Methyl 2-butanone,CC(C)C(C)=O,563-80-4,Biofuel
2-Pentanone,CCCC(C)=O,107-87-9,Biofuel
3-Pentanone,CCC(=O)CC,96-22-0,Biofuel
Cyclopropyl methyl ketone,CC(=O)C1CC1,765-43-5,Not biofuel
2-Methyl 3-pentanone,CCC(=O)C(C)C,565-69-5,Biofuel
4-Methyl 2-pentanone,CC(C)CC(C)=O,108-10-1,Biofuel
3-Methyl 2-pentanone,CCC(C)C(C)=O,565-61-7,Biofuel
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,75-97-8,Not biofuel
2-Hexanone,CCCCC(C)=O,591-78-6,Biofuel
3-Hexanone,CCCC(=O)CC,589-38-8,Biofuel
"3,3-Dimethyl-2-pentanone",CCC(C)(C)C(C)=O,20669-04-9,Not biofuel
"4,4-Dimethyl-2-pentanone",CC(=O)CC(C)(C)C,590-50-1,Not biofuel
"3,4-Dimethyl-2-pentanone",CC(C)C(C)C(C)=O,565-78-6,Not biofuel
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,565-80-0,Not biofuel
3-Ethyl-2-pentanone,CCC(CC)C(C)=O,07/03/6137,Not biofuel
3-Methyl-2-hexanone,CCCC(C)C(C)=O,2550-21-2,Biofuel
4-Methyl-2-hexanone,CCC(C)CC(C)=O,105-42-0,Biofuel
5-Methyl-2-hexanone,CC(C)CCC(C)=O,110-12-3,Biofuel
2-Methyl-3-hexanone,CCCC(=O)C(C)C,06/12/7379,Not biofuel
4-Methyl-3-hexanone,CCC(C)C(=O)CC,17042-16-9,Biofuel
5-Methyl-3-hexanone,CCC(=O)CC(C)C,623-56-3,Biofuel
3-Heptanone,CCCCC(=O)CC,106-35-4,Biofuel
"3,3,4-Trimethyl-2-pentanone",CC(C)C(C)(C)C(C)=O,5340-47-6,Not biofuel
4-Heptanone,CCCC(=O)CCC,123-19-3,Biofuel
"3,4,4-Trimethyl-2-pentanone",CC(C(C)=O)C(C)(C)C,5340-45-4,Not biofuel
"2,2,4-Trimethyl-3-pentanone",CC(C)C(=O)C(C)(C)C,5857-36-3,Not biofuel
"2,4-Dimethyl-3-hexanone",CCC(C)C(=O)C(C)C,18641-70-8,Not biofuel
"2,5-Dimethyl-3-hexanone",CC(C)CC(=O)C(C)C,1888-57-9,Not biofuel
"4,5-Dimethyl-3-hexanone",CCC(=O)C(C)C(C)C,6137-14-0,Not biofuel
"2,6-Dimethyl-4-heptanone",CC(C)CC(=O)CC(C)C,108-83-8,Biofuel
"2,3-Butanedione",CC(=O)C(=O)C,431-03-8,Biofuel
dihydro-5-methyl-2(3H)-furanone (gamma-valerolactone),CC1CCC(=O)O1,108-29-2,Biofuel
Cyclopentanone,O=C1CCCC1,120-92-3,Biofuel
2-Methylcyclopentanone,CC1CCCC1=O,1120-72-5,Not biofuel
3-Methylcyclopentanone,CC1CCC(=O)C1,1757-42-2,Biofuel
Cyclohexanone,C1CCC(=O)CC1,108-94-1,Biofuel
"2,2-Dimethylcyclopentanone",CC1(C)CCCC1=O,4541-32-6,Not biofuel
"3,3-Dimethylcyclopentanone",CC1(C)CCC(=O)C1,20500-49-6,Not biofuel
"2,5-Dimethylcyclopentanone",CC1CCC(C)C1=O,02/09/4041,Not biofuel
2-Methylcyclohexanone,CC1CCCCC1=O,583-60-8,Biofuel
3-Methylcyclohexanone,CC1CCCC(=O)C1,591-24-2,Biofuel
4-Methylcyclohexanone,CC1CCC(=O)CC1,589-92-4,Not biofuel
"2,2-Dimethylcyclohexanone",CC1(CCCCC1=O)C,1193-47-1,Not biofuel
"3,3-Dimethylcyclohexanone",CC1(CCCC(=O)C1)C,2979-19-3,Not biofuel
"4,4-Dimethylcyclohexanone",CC1(CCC(=O)CC1)C,4255-62-3,Not biofuel
"2,3-Dimethylcyclohexanone",CC1CCCC(=O)C1C,13395-76-1,Not biofuel
"2,4-Dimethylcyclohexanone",CC1CCC(=O)C(C1)C,823-55-2,Not biofuel
"2,5-Dimethylcyclohexanone",CC1CCC(C(=O)C1)C,932-51-4,Not biofuel
"2,6-Dimethylcyclohexanone",CC1CCCC(C1=O)C,2816-57-1,Biofuel
"3,4-Dimethylcyclohexanone",CC1CCC(=O)CC1C,08/09/5465,Not biofuel
"3,5-Dimethylcyclohexanone",CC1CC(CC(=O)C1)C,2320-30-1,Not biofuel
n-Propionaldehyde,CCC=O,123-38-6,Biofuel
Acrolein,C=CC=O,107-02-8,Biofuel
n-Butyraldehyde,CCCC=O,123-72-8,Biofuel
Methacrolein,CC(=C)C=O,78-85-3,Biofuel
trans-Crotonaldehyde,CC=CC=O,123-73-9,Biofuel
Methyl formate,COC=O,107-31-3,Biofuel
Ethyl formate,CCOC=O,109-94-4,Biofuel
Methyl propanoate,CCC(=O)OC,554-12-1,Biofuel
Ethyl acetate,CCOC(C)=O,141-78-6,Biofuel
Propyl formate,CCCOC=O,110-74-7,Biofuel
Isopropyl formate,CC(C)OC=O,625-55-8,Biofuel
Methyl butanoate,CCCC(=O)OC,623-42-7,Biofuel
Methyl isobutyrate,COC(=O)C(C)C,547-63-7,Biofuel
Ethyl propanoate,CCOC(=O)CC,105-37-3,Biofuel
Propyl acetate,CCCOC(C)=O,109-60-4,Biofuel
Isopropyl acetate,CC(C)OC(C)=O,108-21-4,Biofuel
Butyl formate,CCCCOC=O,592-84-7,Biofuel
1-Methylpropyl formate,CCC(C)OC=O,589-40-2,Biofuel
Isobutyl formate,CC(C)COC=O,542-55-2,Not biofuel
tert-Butyl formate,CC(C)(C)OC=O,762-75-4,Not biofuel
Methyl pentanoate,CCCCC(=O)OC,624-24-8,Biofuel
Methyl isopentanoate,COC(=O)CC(C)C,556-24-1,Biofuel
Methyl 2-methylbutyrate,CCC(C)C(=O)OC,868-57-5,Biofuel
"Methyl 2,2-dimethylpropanoate",COC(=O)C(C)(C)C,598-98-1,Not biofuel
Ethyl butyrate,CCCC(=O)OCC,105-54-4,Biofuel
Ethyl isobutyrate,CCOC(=O)C(C)C,97-62-1,Biofuel
Propyl propanoate,CCCOC(=O)CC,106-36-5,Biofuel
Isopropyl propanoate,CCC(=O)OC(C)C, 637-78-5,Not biofuel
Butyl acetate,CCCCOC(C)=O,123-86-4,Biofuel
Pentyl formate,CCCCCOC=O,638-49-3,Biofuel
Isobutyl acetate,CC(C)COC(C)=O,110-19-0,Biofuel
tert-Butyl acetate,CC(=O)OC(C)(C)C,540-88-5,Not biofuel
1-Methylpropyl acetate,CCC(C)OC(C)=O,105-46-4,Biofuel
"1,2-Dimethylpropyl formate",CC(C)C(C)OC=O,66794-46-5,Not biofuel
1-Methylbutyl formate,CCCC(C)OC=O,58368-66-4,Not biofuel
2-Methylbutyl formate,CCC(C)COC=O,35073-27-9,Not biofuel
Isopentyl formate,CC(C)CCOC=O,110-45-2,Biofuel
1-Ethylpropyl formate,CCC(CC)OC=O,58368-67-5,Not biofuel
Methyl hexanoate,CCCCCC(=O)OC,106-70-7,Biofuel
Methyl 2-methylpentanoate,CCCC(C)C(=O)OC,2177-77-7,Biofuel
Methyl 3-methylpentanoate,CCC(C)CC(=O)OC,2177-78-8,Not biofuel
Methyl 4-methylpentanoate,COC(=O)CCC(C)C,2412-80-8,Biofuel
Methyl 2-ethylbutyrate,CCC(CC)C(=O)OC,816-11-5,Not biofuel
"Methyl 2,3-dimethylbutyrate",COC(=O)C(C)C(C)C,24566-55-0,Not biofuel
Ethyl pentanoate,CCCCC(=O)OCC,539-82-2,Biofuel
Ethyl 2-methylbutyrate,CCOC(=O)C(C)CC,7452-79-1,Biofuel
Ethyl 3-methylbutyrate,CCOC(=O)CC(C)C,108-64-5,Biofuel
"Ethyl 2,2-dimethypropanoate",CCOC(=O)C(C)(C)C,3938-95-2,Not biofuel
Propyl butyrate,CCCOC(=O)CCC,105-66-8,Biofuel
Propyl isobutyrate,CCCOC(=O)C(C)C,644-49-5,Not biofuel
Isopropyl isobutyrate,CC(C)OC(=O)C(C)C,617-50-5,Not biofuel
Isopropyl butyrate,CCCC(=O)OC(C)C,638-11-9,Biofuel
Butyl propanoate,CCCCOC(=O)CC,590-01-2,Biofuel
Pentyl acetate,CCCCCOC(C)=O,628-63-7,Biofuel
1-Methylbutyl acetate,CCCC(C)OC(C)=O, 626-38-0,Biofuel
2-Methylbutyl acetate,CCC(C)COC(C)=O,624-41-9,Biofuel
Isopentyl acetate,CC(C)CCOC(C)=O,123-92-2,Biofuel
1-Ethylpropyl acetate,CCC(CC)OC(C)=O,620-11-1,Not biofuel
"1,2-Dimethylpropyl acetate",CC(C)C(C)OC(C)=O,5343-96-4,Not biofuel
1-Methylpropyl propanoate,CCC(C)OC(=O)CC,591-34-4,Not biofuel
Isobutyl propanoate,CCC(=O)OCC(C)C,540-42-1,Biofuel
tert-Butyl propanoate,CCC(=O)OC(C)(C)C,20487-40-5,Biofuel
2-Methylpentyl formate,CCCC(C)COC=O,381670-34-4,Not biofuel
"Methyl 2,2-dimethylpentanoate",CCCC(C)(C)C(=O)OC,813-68-3,Not biofuel
"Methyl 3,3-dimethylpentanoate",CCC(C)(C)CC(=O)OC,101186-01-0,Not biofuel
"Methyl 2,3-dimethylpentanoate",CCC(C)C(C)C(=O)OC,21641-66-7,Not biofuel
"Methyl 2,4-dimethylpentanoate",COC(=O)C(C)CC(C)C,71672-33-8,Not biofuel
"Methyl 3,4-dimethylpentanoate",COC(=O)CC(C)C(C)C,30288-22-3,Not biofuel
"Ethyl 2,2-dimethylbutanoate",CCOC(=O)C(C)(C)CC,5129-40-8,Not biofuel
"Ethyl 3,3-dimethylbutanoate",CCOC(=O)CC(C)(C)C,5340-78-3,Not biofuel
"Ethyl 2,3-dimethylbutanoate",CCOC(=O)C(C)C(C)C,54004-42-1,Not biofuel
1-Methylpropyl 2-methylpropanoate,CCC(C)OC(=O)C(C)C,23412-21-7,Not biofuel
2-Methylpropyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,97-85-8,Biofuel
"1,1-Dimethylethyl 2-methylpropanoate",CC(C)C(=O)OC(C)(C)C,16889-72-8,Not biofuel
"2,2-Dimethylpropyl propanoate",CCC(=O)OCC(C)(C)C,3581-69-9,Not biofuel
"1,3-Dimethylbutyl acetate",CC(C)CC(C)OC(C)=O,108-84-9,Not biofuel
"2,3-Dimethylbutyl acetate",CC(C)C(C)COC(C)=O,71412-26-5,Not biofuel
"1,1,2-Trimethylpropyl acetate",CC(C)C(C)(C)OC(C)=O,4806-33-1,Not biofuel
"1,2,2-Trimethylpropyl acetate",CC(OC(C)=O)C(C)(C)C,616-51-3,Not biofuel
1-Ethyl-2-methylpropyl acetate,CCC(C(C)C)OC(=O)C,35897-16-6,Biofuel
Dimethyl carbonate,COC(=O)OC,616-38-6,Not biofuel
Diethyl carbonate,CCOC(=O)OCC,105-58-8,Biofuel
Ethyl 2-hydroxypropanoate,CCOC(=O)C(C)O,97-64-3,Biofuel
Ethyl levulinate,CCOC(=O)CCC(=O)C,539-88-8,Not biofuel
Butyl levulinate,CCCCOC(=O)CCC(=O)C,2052-15-5,Not biofuel
5-Methyl-2(3H)-furanone,CC1=CCC(=O)O1,591-12-8,Biofuel
5-Propyldihydro-2(3H)-furanone,CCCC1CCC(=O)O1,105-21-5,Biofuel
Methoxymethane,COC,115-10-6,Not biofuel
Methoxyethane,CCOC,540-67-0,Not biofuel
Methoxypropane,CCCOC,557-17-5,Biofuel
Ethoxyethane,CCOCC,60-29-7,Biofuel
2-Methoxypropane,COC(C)C,598-53-8,Not biofuel
2-Methoxy-2-methylpropane,COC(C)(C)C,1634-04-4,Not biofuel
2-Ethoxypropane,CCOC(C)C,625-54-7,Biofuel
2-Ethoxy-2-methylpropane,CCOC(C)(C)C,637-92-3,Biofuel
tert-Amyl methylether,CCC(C)(C)OC,994-05-8,Not biofuel
2-Propoxypropane,CCCOC(C)C,627-08-7,Not biofuel
2-Isopropoxypropane,CC(C)OC(C)C,108-20-3,Not biofuel
tert-Amyl ethylether,CCOC(C)(C)CC,919-94-8,Not biofuel
Tetrahydrofuran,C1CCOC1,109-99-9,Biofuel
"2,3-Dihydrofuran",C1CC=CO1,1191-99-7,Biofuel
"2,5-Dihydrofuran",C1OCC=C1,1708-29-8,Not biofuel
Tetrahydropyran,C1CCOCC1,142-68-7,Not biofuel
2-Methyltetrahydrofuran,CC1CCCO1,96-47-9,Biofuel
3-Methyltetrahydrofuran,CC1CCOC1,13423-15-9,Not biofuel
"5-Methyl-2,3-dihydrofuran",CC1=CCCO1,1487-15-6,Not biofuel
2-Methyloxane,CC1CCCCO1,10141-72-7,Not biofuel
3-Methyloxane,CC1CCCOC1,26093-63-0,Not biofuel
4-Methyloxane,CC1CCOCC1,4717-96-8,Not biofuel
"2,3-Dimethyltetrahydrofuran",CC1CCOC1C,16251-73-3,Not biofuel
"2,5-Dimethyltetrahydrofuran",CC1CCC(C)O1,1003-38-9,Not biofuel
"2,4-Dimethyltetrahydrofuran",CC1COC(C)C1,64265-26-5,Not biofuel
2-Ethyltetrahydrofuran,CCC1CCCO1,1003-30-1,Not biofuel
2-Ethyloxane,CCC1CCCCO1,3857-14-5,Not biofuel
3-Ethyloxane,CCC1CCCOC1,,Not biofuel
4-Ethyloxane,CCC1CCOCC1,,Not biofuel
"2,6-Dimethyloxane",CC1CCCC(C)O1,73237-48-6,Not biofuel
"2,3,5-Trimethyltetrahydrofuran",CC1CC(C)C(C)O1,,Not biofuel
2-Propyltetrahydrofuran,CCCC1CCCO1,3208-22-8,Not biofuel
2-Propyloxane,CCCC1CCCCO1,3857-17-8,Not biofuel
"2,3,4,5-Tetramethyltetrahydrofuran",CC1OC(C)C(C)C1C,,Not biofuel
2-Isobutyltetrahydrofuran,CC(C)CC1CCCO1,651057-21-5,Not biofuel
"2,5-Dimethoxytetrahydrofuran",COC1CCC(OC)O1,696-59-3,Not biofuel
"2,5-Dimethoxy-2,5-dihydrofuran",COC1OC(OC)C=C1,332-77-4,Not biofuel
Furan,O1C=CC=C1,110-00-9,Biofuel
2-Methylfuran,CC1=CC=CO1,534-22-5,Biofuel
3-Methylfuran,CC1=COC=C1,930-27-8,Biofuel
"2,5-Dimethylfuran",CC1=CC=C(C)O1,625-86-5,Biofuel
"2,3-Dimethylfuran",CC1=C(C)C=CO1,14920-89-9,Not biofuel
"2,4-Dimethylfuran",CC1=CC(=CO1)C,3710-43-8,Biofuel
2-Ethylfuran,CCC1=CC=CO1,3208-16-0,Biofuel
"2,3,4-Trimethylfuran",CC1=C(C)C(=CO1)C,10599-57-2,Not biofuel
"2,3,5-Trimethylfuran",CC1=CC(=C(C)O1)C,10504-04-8,Biofuel
2-Propylfuran,CCCC1=CC=CO1,4229-91-8,Biofuel
"2,3,4,5-Tetramethylfuran",CC1=C(C)C(=C(C)O1)C,10599-58-3,Not biofuel
2-Butylfuran,CCCCC1=CC=CO1,4466-24-4,Biofuel
2-Isobutylfuran,CC(C)CC1=CC=CO1,4229-92-9,Not biofuel
"2,2'-Oxybis(methylene)dihydrofuran",C(OCC1=CC=CO1)C2=CC=CO2,4437-22-3,Not biofuel
Phenol,C1=CC=C(C=C1)O,108-95-2,Biofuel
Anisole,COC1=CC=CC=C1,100-66-3,Biofuel
Benzyl alcohol,C1=CC=C(C=C1)CO,100-51-6,Biofuel
O-Cresol,CC1=CC=CC=C1O,95-48-7,Biofuel
M-Cresol,CC1=CC(=CC=C1)O,108-39-4,Biofuel
P-Cresol,CC1=CC=C(C=C1)O,106-44-5,Biofuel
Benzaldehyde,C1=CC=C(C=C1)C=O,100-52-7,Biofuel
Phenetole,CCOC1=CC=CC=C1,103-73-1,Biofuel
4-Methylanisole,CC1=CC=C(C=C1)OC,104-93-8,Biofuel
1-Phenylethanol,CC(C1=CC=CC=C1)O,98-85-1,Biofuel
2-Phenylethanol ,C1=CC=C(C=C1)CCO,08/12/1960,Biofuel
"2,4-Xylenol",CC1=CC(=C(C=C1)O)C,105-67-9,Biofuel
Cinnamaldehyde,C1=CC=C(C=C1)C=CC=O,104-55-2,Biofuel
4-Propylanisole,CCCC1=CC=C(C=C1)OC,104-45-0,Biofuel
Guaiacol,COC1=CC=CC=C1O,01/05/1990,Biofuel
4-Methylguaiacol,CC1=CC(=C(C=C1)O)OC,93-51-6,Biofuel
4-Ethylguaiacol,CCC1=CC(=C(C=C1)O)OC,2785-89-9,Biofuel
Methylamine,CN,74-89-5,Biofuel
Ethylamine,CCN,07/04/1975,Biofuel
Acetonitrile,CC#N,08/05/1975,Not biofuel
n-Propylamine,CCCN,107-10-8,Biofuel
Isopropylamine,CC(C)N,75-31-0,Not biofuel
n-Butylamine,CCCCN,109-73-9,Biofuel
Isobutylamine,CC(C)CN,78-81-9,Biofuel
sec-Butylamine ,CCC(C)N,13952-84-6,Biofuel
tert-Butylamine,CC(C)(C)N,75-64-9,Not biofuel
Pyrrolidine,C1CCNC1,123-75-1,Biofuel
Pyrrole,C1=CNC=C1,109-97-7,Biofuel
Piperidine,C1CCNCC1,110-89-4,Biofuel
Pyridine,C1=CC=NC=C1,110-86-1,Biofuel
2-Methylpiperidine,CC1CCCCN1,109-05-7,Biofuel
2-Methylpyridine,CC1=CC=CC=N1,109-06-8,Biofuel
3-Methylpyridine,CC1=CN=CC=C1,108-99-6,Biofuel
4-Methylpyridine,CC1=CC=NC=C1,108-89-4,Biofuel
Aniline,C1=CC=C(C=C1)N,62-53-3,Biofuel
N-methylaniline,CNC1=CC=CC=C1,100-61-8,Biofuel
Indole,C1=CC=C2C(=C1)C=CN2,120-72-9,Biofuel
Quinoline,C1=CC=C2C(=C1)C=CC=N2,91-22-5,Biofuel
Dibenzopyrrole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,86-74-8,Biofuel
Acridine,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,260-94-6,Not biofuel
"N,N'-Di-sec-butyl-p-phenylenediamine",CCC(C)NC1=CC=C(C=C1)NC(C)CC,101-96-2,Not biofuel
Urea,C(=O)(N)N,57-13-6,Biofuel
Morpholine,C1COCCN1,110-91-8,Not biofuel
N-nitrosodiphenylamine,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,86-30-6,Not biofuel
Nitromethane,C[N+](=O)[O-],75-52-5,Not biofuel
Nitroethane,CC[N+](=O)[O-],79-24-3,Not biofuel
1-Nitropropane,CCC[N+](=O)[O-],108-03-2,Not biofuel
